CEILING,LATITUDE,LONGITUDE
400,40.55417343,-73.91250593
400,40.55417343,-73.90417259
400,40.55417343,-73.89583926
400,40.55417343,-73.88750592
400,40.56250676,-73.92083926
400,40.56250676,-73.91250593
400,40.56250676,-73.90417259
400,40.56250676,-73.89583926
400,40.56250676,-73.88750592
400,40.56250676,-73.87917259
400,40.56250676,-73.87083925
400,40.56250676,-73.86250592
400,40.5708401,-73.9291726
400,40.5708401,-73.92083926
400,40.5708401,-73.91250593
400,40.5708401,-73.90417259
400,40.5708401,-73.89583926
400,40.5708401,-73.88750592
400,40.5708401,-73.87917259
400,40.5708401,-73.87083925
400,40.5708401,-73.86250592
400,40.5708401,-73.85417258
400,40.5708401,-73.84583925
400,40.5708401,-73.83750591
400,40.57917343,-73.93750593
400,40.57917343,-73.9291726
400,40.57917343,-73.92083926
400,40.57917343,-73.91250593
400,40.57917343,-73.90417259
400,40.57917343,-73.89583926
400,40.57917343,-73.88750592
400,40.57917343,-73.87917259
400,40.57917343,-73.87083925
400,40.57917343,-73.86250592
400,40.57917343,-73.85417258
400,40.57917343,-73.84583925
400,40.57917343,-73.83750591
400,40.57917343,-73.82917258
400,40.57917343,-73.82083924
400,40.57917343,-73.81250591
400,40.57917343,-73.72083922
400,40.57917343,-73.71250589
400,40.57917343,-73.70417255
400,40.57917343,-73.69583922
400,40.57917343,-73.68750588
400,40.57917343,-73.67917255
400,40.58750677,-73.93750593
400,40.58750677,-73.9291726
400,40.58750677,-73.92083926
400,40.58750677,-73.91250593
400,40.58750677,-73.90417259
400,40.58750677,-73.89583926
400,40.58750677,-73.88750592
400,40.58750677,-73.87917259
400,40.58750677,-73.87083925
400,40.58750677,-73.86250592
400,40.58750677,-73.85417258
400,40.58750677,-73.84583925
400,40.58750677,-73.83750591
400,40.58750677,-73.82917258
400,40.58750677,-73.82083924
400,40.58750677,-73.81250591
400,40.58750677,-73.80417257
400,40.58750677,-73.79583924
400,40.58750677,-73.7875059
400,40.58750677,-73.77917257
400,40.58750677,-73.77083923
400,40.58750677,-73.7625059
400,40.58750677,-73.75417256
400,40.58750677,-73.74583923
400,40.58750677,-73.73750589
400,40.58750677,-73.72917256
400,40.58750677,-73.72083922
400,40.58750677,-73.71250589
400,40.58750677,-73.70417255
400,40.58750677,-73.69583922
400,40.58750677,-73.68750588
400,40.58750677,-73.67917255
400,40.5958401,-73.93750593
400,40.5958401,-73.9291726
400,40.5958401,-73.92083926
400,40.5958401,-73.91250593
400,40.5958401,-73.90417259
400,40.5958401,-73.89583926
400,40.5958401,-73.88750592
400,40.5958401,-73.87917259
400,40.5958401,-73.87083925
400,40.5958401,-73.86250592
400,40.5958401,-73.85417258
400,40.5958401,-73.84583925
400,40.5958401,-73.83750591
400,40.5958401,-73.82917258
400,40.5958401,-73.82083924
400,40.5958401,-73.81250591
400,40.5958401,-73.80417257
400,40.5958401,-73.79583924
400,40.5958401,-73.7875059
400,40.5958401,-73.77917257
400,40.5958401,-73.77083923
400,40.5958401,-73.7625059
400,40.5958401,-73.75417256
400,40.5958401,-73.74583923
400,40.5958401,-73.73750589
400,40.5958401,-73.72917256
400,40.5958401,-73.72083922
400,40.5958401,-73.71250589
400,40.5958401,-73.70417255
400,40.5958401,-73.69583922
400,40.5958401,-73.68750588
400,40.5958401,-73.67917255
400,40.5958401,-73.67083921
400,40.60417344,-73.94583927
400,40.60417344,-73.93750593
400,40.60417344,-73.9291726
400,40.60417344,-73.92083926
400,40.60417344,-73.91250593
400,40.60417344,-73.90417259
400,40.60417344,-73.89583926
400,40.60417344,-73.88750592
300,40.60417344,-73.87917259
300,40.60417344,-73.87083925
300,40.60417344,-73.86250592
300,40.60417344,-73.85417258
400,40.60417344,-73.84583925
400,40.60417344,-73.83750591
400,40.60417344,-73.82917258
400,40.60417344,-73.82083924
0,40.60417344,-73.81250591
0,40.60417344,-73.80417257
0,40.60417344,-73.79583924
0,40.60417344,-73.7875059
0,40.60417344,-73.77917257
0,40.60417344,-73.77083923
0,40.60417344,-73.7625059
0,40.60417344,-73.75417256
200,40.60417344,-73.74583923
200,40.60417344,-73.73750589
300,40.60417344,-73.72917256
300,40.60417344,-73.72083922
400,40.60417344,-73.71250589
400,40.60417344,-73.70417255
400,40.60417344,-73.69583922
400,40.60417344,-73.68750588
400,40.60417344,-73.67917255
400,40.60417344,-73.67083921
400,40.61250677,-73.94583927
400,40.61250677,-73.93750593
400,40.61250677,-73.9291726
400,40.61250677,-73.92083926
400,40.61250677,-73.91250593
400,40.61250677,-73.90417259
400,40.61250677,-73.89583926
400,40.61250677,-73.88750592
300,40.61250677,-73.87917259
300,40.61250677,-73.87083925
300,40.61250677,-73.86250592
300,40.61250677,-73.85417258
400,40.61250677,-73.84583925
400,40.61250677,-73.83750591
400,40.61250677,-73.82917258
400,40.61250677,-73.82083924
0,40.61250677,-73.81250591
0,40.61250677,-73.80417257
0,40.61250677,-73.79583924
0,40.61250677,-73.7875059
0,40.61250677,-73.77917257
0,40.61250677,-73.77083923
0,40.61250677,-73.7625059
0,40.61250677,-73.75417256
200,40.61250677,-73.74583923
200,40.61250677,-73.73750589
300,40.61250677,-73.72917256
300,40.61250677,-73.72083922
400,40.61250677,-73.71250589
400,40.61250677,-73.70417255
400,40.61250677,-73.69583922
400,40.61250677,-73.68750588
400,40.61250677,-73.67917255
400,40.61250677,-73.67083921
400,40.61250677,-73.66250588
400,40.62084011,-73.94583927
400,40.62084011,-73.93750593
400,40.62084011,-73.9291726
400,40.62084011,-73.92083926
400,40.62084011,-73.91250593
400,40.62084011,-73.90417259
400,40.62084011,-73.89583926
400,40.62084011,-73.88750592
200,40.62084011,-73.87917259
200,40.62084011,-73.87083925
50,40.62084011,-73.86250592
50,40.62084011,-73.85417258
50,40.62084011,-73.84583925
50,40.62084011,-73.83750591
0,40.62084011,-73.82917258
0,40.62084011,-73.82083924
0,40.62084011,-73.81250591
0,40.62084011,-73.80417257
0,40.62084011,-73.79583924
0,40.62084011,-73.7875059
0,40.62084011,-73.77917257
0,40.62084011,-73.77083923
0,40.62084011,-73.7625059
0,40.62084011,-73.75417256
50,40.62084011,-73.74583923
50,40.62084011,-73.73750589
200,40.62084011,-73.72917256
200,40.62084011,-73.72083922
400,40.62084011,-73.71250589
400,40.62084011,-73.70417255
400,40.62084011,-73.69583922
400,40.62084011,-73.68750588
400,40.62084011,-73.67917255
400,40.62084011,-73.67083921
400,40.62084011,-73.66250588
400,40.62084011,-73.62917254
400,40.62084011,-73.6208392
400,40.62084011,-73.61250587
400,40.62084011,-73.60417253
400,40.62084011,-73.5958392
400,40.62917344,-73.94583927
400,40.62917344,-73.93750593
400,40.62917344,-73.9291726
400,40.62917344,-73.92083926
